t_dat,customer_id,article_id,price,sales_channel_id
0,1,663713001,0.05083051,2
0,1,541518023,0.030491525,2
0,2,505221004,0.015237289,2
0,2,685687003,0.016932203,2
0,2,685687004,0.016932203,2
0,2,685687001,0.016932203,2
0,2,505221001,0.020322034,2
0,25,688873012,0.030491525,1
0,25,501323011,0.053372882,1
0,25,598859003,0.045745764,2
0,25,688873020,0.030491525,1
0,25,688873011,0.030491525,1
0,26,531310002,0.022525424,2
0,26,529841001,0.020322034,2
0,30,501820043,0.016932203,2
0,30,674681001,0.008457627,2
0,30,671505001,0.033881355,2
0,30,631848002,0.033881355,2
0,30,680187001,0.016932203,2
0,30,676827002,0.042355932,2
0,30,685687002,0.016932203,2
0,30,680912006,0.016932203,2
0,30,692454002,0.02540678,2
0,30,640639001,0.010152542,2
0,30,664421002,0.016932203,2
0,30,680912009,0.011847458,2
0,30,553139001,0.033881355,2
0,30,377277001,0.008457627,2
0,30,700819006,0.042355932,2
0,47,397068015,0.033881355,1
0,76,652075001,0.011847458,2
0,76,670295001,0.010152542,2
0,79,631744002,0.016932203,1
0,79,562252035,0.02159322,1
0,82,649356002,0.027440678,1
0,82,579941002,0.01981356,1
0,82,629760002,0.015237289,1
0,82,625229004,0.01981356,1
0,84,688545001,0.13423729,2
0,101,673531001,0.008457627,2
0,101,464277014,0.02201695,2
0,134,617322003,0.033881355,1
0,134,617322003,0.018627118,1
0,134,620405001,0.018627118,1
0,134,678239001,0.02540678,1
0,143,613456009,0.016932203,2
0,143,633675001,0.010152542,2
0,143,648719001,0.02540678,2
0,143,427114015,0.016932203,2
0,143,567475001,0.033881355,2
0,143,567594001,0.011847458,2
0,143,681358001,0.02540678,2
0,143,613456001,0.016932203,2
0,143,573937001,0.03218644,2
0,143,622745001,0.048288137,2
0,143,617322004,0.033881355,2
0,144,507909001,0.02540678,1
0,144,665481004,0.05083051,1
0,160,211143037,0.033881355,2
0,160,503729006,0.042355932,2
0,164,662857005,0.042355932,1
0,179,640174002,0.03176271,2
0,205,625939005,0.0033728813,2
0,205,508184020,0.024135593,2
0,205,560783010,0.0050677964,2
0,205,660150001,0.0050677964,2
0,210,611415005,0.016932203,2
0,210,578374001,0.042355932,2
0,210,673677002,0.016932203,2
0,210,676352001,0.02540678,2
0,210,611415001,0.016932203,2
0,241,255396006,0.06777966,2
0,241,594834010,0.042355932,2
0,241,516712001,0.02201695,2
0,250,524825010,0.042355932,2
0,257,634015003,0.012186441,1
0,257,636351002,0.0076101697,1
0,257,633781016,0.015237289,1
0,262,534795002,0.011864407,1
0,268,659550001,0.059305083,2
0,275,547752003,0.04066102,2
0,277,610671001,0.013542373,1
0,280,652731008,0.056338985,1
0,280,618476004,0.02201695,1
0,280,622238014,0.02540678,1
0,280,639297001,0.033881355,1
0,298,633755001,0.006762712,1
0,298,640168001,0.033881355,1
0,298,565200032,0.006762712,1
0,298,618389001,0.02201695,1
0,298,432984001,0.013542373,1
0,298,591702003,0.030491525,1
0,301,448509017,0.042355932,2
0,304,665477001,0.033881355,2
0,305,578476001,0.048288137,1
0,305,663396002,0.05083051,1
0,327,677341001,0.08049153,2
0,328,564786020,0.01981356,1
0,328,655347002,0.015237289,1
0,328,655347007,0.015237289,1
0,330,710390001,0.019050848,1
0,330,633130019,0.016932203,1
0,330,671057002,0.008457627,1
0,348,610776024,0.008457627,1
0,348,186262006,0.004220339,1
0,348,610776023,0.008457627,1
0,355,610097001,0.02879661,2
0,360,675139003,0.016932203,1
0,368,598795014,0.014389831,1
0,369,656345001,0.033881355,1
0,369,587137001,0.042355932,1
0,375,611929006,0.033881355,2
0,375,610776002,0.008457627,2
0,375,539723005,0.033881355,2
0,375,662888002,0.033881355,2
0,387,562245050,0.02201695,2
0,388,294008002,0.013542373,2
0,395,627300001,0.024135593,2
0,395,544360001,0.011847458,2
0,397,624632002,0.015050847,1
0,397,552716009,0.030118644,1
0,397,629483002,0.02257627,1
0,401,529008008,0.013542373,2
0,401,594633001,0.013542373,2
0,401,603401002,0.013542373,2
0,406,671142001,0.02201695,1
0,422,644522001,0.059305083,2
0,429,225784001,0.016932203,1
0,441,678073001,0.02442373,2
0,441,671515001,0.02442373,2
0,441,622046002,0.019542374,2
0,441,678073002,0.02442373,2
0,441,617900007,0.013016949,2
0,441,657195001,0.08147458,2
0,448,297078001,0.02201695,1
0,463,598806012,0.016932203,1
0,463,662230001,0.05083051,1
0,468,581086004,0.016932203,2
0,468,564358023,0.033881355,2
0,468,564358021,0.033881355,2
0,468,673677003,0.016932203,2
0,468,512251004,0.02540678,2
0,468,179208001,0.016932203,2
0,474,681247002,0.059305083,1
0,474,681247001,0.059305083,1
0,489,678983004,0.016932203,1
0,489,651905007,0.016932203,1
0,491,685687004,0.016932203,2
0,491,678983004,0.016932203,2
0,491,616708004,0.030491525,2
0,491,568858001,0.118627116,2
0,491,640462002,0.033881355,2
0,495,610776001,0.008457627,2
0,495,599729001,0.084728815,2
0,495,620081001,0.02540678,2
0,495,684588008,0.02540678,2
0,495,640539001,0.042355932,2
0,495,662253002,0.084728815,2
0,495,684588007,0.02540678,2
0,513,662888002,0.03218644,1
0,513,555364007,0.02540678,1
0,521,633861001,0.035576273,2
0,521,608458001,0.016932203,2
0,531,572573001,0.0289661,2
0,531,678086003,0.02540678,2
0,559,606769001,0.015237289,2
0,559,537840001,0.015237289,2
0,559,609650008,0.008457627,2
0,559,622295001,0.035576273,2
0,559,537738003,0.02201695,2
0,559,617900007,0.013542373,2
0,559,655710007,0.05083051,2
0,559,578430002,0.018627118,2
0,559,601102001,0.02201695,2
0,585,654423001,0.02159322,1
0,585,677967003,0.02540678,1
0,587,641741001,0.07820339,2
0,587,685683001,0.023457628,2
0,634,524825019,0.042355932,1
0,634,626587003,0.06777966,1
0,634,666638003,0.02540678,1
0,634,675319001,0.05083051,1
0,652,653188006,0.011847458,1
0,670,640182001,0.035576273,2
0,670,633685001,0.06777966,2
0,670,522561002,0.084728815,2
0,670,608483002,0.013542373,2
0,679,651456003,0.016932203,1
0,695,580469005,0.08049153,2
0,695,580469005,0.084728815,2
0,695,629305003,0.016932203,2
0,695,553611001,0.033881355,2
0,695,657195001,0.084728815,2
